,revision,classifier,accuracy,precision_macro,recall_macro,f1_macro,precision_car,precision_home,precision_life,precision_health,precision_sports,recall_car,recall_home,recall_life,recall_health,recall_sports,f1_car,f1_home,f1_life,f1_health,f1_sports
0,1,bert_base,0.9917355371900827,0.9923076923076923,0.992,0.9919967987194876,1.0,1.0,0.9615384615384616,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.9795918367346939,1.0,0.9803921568627451,1.0,1.0
1,1,distilbert,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1,roberta_base,0.9917355371900827,0.9923076923076923,0.992,0.9919967987194876,1.0,0.9615384615384616,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.9795918367346939,0.9803921568627451,1.0,1.0,1.0
3,1,gpt2,0.9834710743801653,0.9851851851851852,0.984,0.9841444270015698,1.0,0.9259259259259259,1.0,1.0,1.0,0.96,1.0,0.96,1.0,1.0,0.9795918367346939,0.9615384615384615,0.9795918367346939,1.0,1.0
4,1,bart_large,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,2,bert_base,0.9917355371900827,0.9923076923076923,0.992,0.9919967987194876,1.0,0.9615384615384616,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.9795918367346939,0.9803921568627451,1.0,1.0,1.0
6,2,distilbert,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,2,roberta_base,0.9752066115702479,0.9760942760942761,0.976,0.975411631557811,1.0,1.0,1.0,0.9545454545454546,0.9259259259259259,0.96,0.96,0.96,1.0,1.0,0.9795918367346939,0.9795918367346939,0.9795918367346939,0.9767441860465117,0.9615384615384615
8,2,gpt2,0.9834710743801653,0.9851851851851852,0.984,0.9841444270015698,0.9259259259259259,1.0,1.0,1.0,1.0,1.0,0.96,0.96,1.0,1.0,0.9615384615384615,0.9795918367346939,0.9795918367346939,1.0,1.0
9,2,bart_large,0.9917355371900827,0.9923076923076923,0.992,0.9919967987194876,1.0,1.0,0.9615384615384616,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.9795918367346939,1.0,0.9803921568627451,1.0,1.0
10,3,bert_base,0.9917355371900827,0.9923076923076923,0.992,0.9919967987194876,1.0,1.0,0.9615384615384616,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.9795918367346939,1.0,0.9803921568627451,1.0,1.0
11,3,distilbert,0.9834710743801653,0.9846153846153847,0.9824761904761905,0.9831971813115489,1.0,1.0,0.9615384615384616,1.0,0.9615384615384616,0.96,1.0,1.0,0.9523809523809523,1.0,0.9795918367346939,1.0,0.9803921568627451,0.975609756097561,0.9803921568627451
12,3,roberta_base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,3,gpt2,0.9752066115702479,0.9785714285714284,0.976,0.9762642792966243,1.0,1.0,0.8928571428571429,1.0,1.0,0.92,0.96,1.0,1.0,1.0,0.9583333333333334,0.9795918367346939,0.9433962264150945,1.0,1.0
14,3,bart_large,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,4,bert_base,0.9917355371900827,0.9923076923076923,0.992,0.9919967987194876,1.0,0.9615384615384616,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.9795918367346939,0.9803921568627451,1.0,1.0,1.0
16,4,distilbert,0.9917355371900827,0.9923076923076923,0.992,0.9919967987194876,1.0,1.0,0.9615384615384616,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.9795918367346939,1.0,0.9803921568627451,1.0,1.0
17,4,roberta_base,0.9917355371900827,0.9923076923076923,0.992,0.9919967987194876,1.0,0.9615384615384616,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.9795918367346939,0.9803921568627451,1.0,1.0,1.0
18,4,gpt2,0.9917355371900827,0.9923076923076923,0.992,0.9919967987194876,1.0,1.0,0.9615384615384616,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.9795918367346939,1.0,0.9803921568627451,1.0,1.0
19,4,bart_large,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,5,bert_base,0.9834710743801653,0.9851851851851852,0.984,0.9841444270015698,1.0,0.9259259259259259,1.0,1.0,1.0,0.96,1.0,0.96,1.0,1.0,0.9795918367346939,0.9615384615384615,0.9795918367346939,1.0,1.0
21,5,distilbert,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,5,roberta_base,0.9917355371900827,0.9923076923076923,0.992,0.9919967987194876,1.0,1.0,0.9615384615384616,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.9795918367346939,1.0,0.9803921568627451,1.0,1.0
